Delivery Week,Producer Code,Product ID,Product,Quantity,Cost,Price
7/4/2022,CBS,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
7/4/2022,TEB,3573,"Greens, Bok Choi",10,$46.25,$51.34
7/4/2022,CMU,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
7/4/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,$42.75,$47.45
7/4/2022,TEB,3573,"Greens, Bok Choi",10,$46.25,$51.34
7/4/2022,AFC,3138,"Greens, Collard-24 ct",8,$42.75,$47.45
7/4/2022,CHO,3278,"Radishes, bunched-24 ct",20,$43.50,$48.29
7/11/2022,KSL,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/11/2022,YMF,3754,"Cabbage, Red",5,$40.75,$45.23
7/11/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,$42.75,$47.45
7/11/2022,YMF,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/11/2022,ONC,3754,"Cabbage, Red",5,$40.75,$45.23
7/11/2022,CHO,3278,"Radishes, bunched-24 ct",20,$43.50,$48.29
7/11/2022,D2D,3182,"Squash, Summer, Patty Pan",18,$24.00,$26.64
7/11/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,$42.75,$47.45
7/11/2022,CHO,3182,"Squash, Summer, Patty Pan",22,$24.00,$26.64
7/11/2022,HAF,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/11/2022,SXF,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/11/2022,JWI,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
7/11/2022,CLP,3182,"Squash, Summer, Patty Pan",18,$24.00,$26.64
7/11/2022,CMA,3754,"Cabbage, Red",5,$40.75,$45.23
7/11/2022,D2D,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
7/11/2022,AFC,3138,"Greens, Collard-24 ct",8,$42.75,$47.45
7/11/2022,LDX,3754,"Cabbage, Red",5,$40.75,$45.23
7/11/2022,MHG,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/11/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,$42.75,$47.45
7/11/2022,CHO,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/18/2022,RSV,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/18/2022,JWI,3809,"Beans, Green, Yellow or Purple",7,$71.00,$78.81
7/18/2022,D2D,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
7/18/2022,JWI,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
7/18/2022,ONC,3754,"Cabbage, Red",5,$40.75,$45.23
7/18/2022,CHO,3182,"Squash, Summer, Patty Pan",22,$24.00,$26.64
7/18/2022,TXI,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/18/2022,D2D,3182,"Squash, Summer, Patty Pan",18,$24.00,$26.64
7/18/2022,YMF,3754,"Cabbage, Red",5,$40.75,$45.23
7/18/2022,NTN,3813,"Greens, Kale-24 ct",10,$42.75,$47.45
7/18/2022,CLP,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/18/2022,D2D,3813,"Greens, Kale-24 ct",5,$42.75,$47.45
7/18/2022,CMA,3754,"Cabbage, Red",5,$40.75,$45.23
7/18/2022,MHA,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/18/2022,LDX,3754,"Cabbage, Red",5,$40.75,$45.23
7/18/2022,HOP,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/18/2022,MLG,3809,"Beans, Green, Yellow or Purple",5,$71.00,$78.81
7/18/2022,LOF,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/18/2022,CMA,3813,"Greens, Kale-24 ct",5,$42.75,$47.45
7/18/2022,CHO,3278,"Radishes, bunched-24 ct",20,$43.50,$48.29
7/18/2022,CLP,3182,"Squash, Summer, Patty Pan",18,$24.00,$26.64
7/18/2022,NTN,3809,"Beans, Green, Yellow or Purple",15,$71.00,$78.81
7/18/2022,RSV,3809,"Beans, Green, Yellow or Purple",6,$71.00,$78.81
7/18/2022,AFC,3138,"Greens, Collard-24 ct",8,$42.75,$47.45
7/18/2022,JWI,3813,"Greens, Kale-24 ct",5,$42.75,$47.45
7/18/2022,PBY,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
7/25/2022,LEE,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
7/25/2022,BXF,3669,"Greens, Chard-24 ct",15,$42.75,$47.45
7/25/2022,ONC,3669,"Greens, Chard-24 ct",5,$42.75,$47.45
7/25/2022,CBO,3669,"Greens, Chard-24 ct",5,$42.75,$47.45
7/25/2022,TEB,3099,Beets w/greens,10,$43.25,$48.01
7/25/2022,KSL,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/25/2022,CHO,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/25/2022,CVP,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
7/25/2022,LVO,3138,"Greens, Collard-24 ct",5,$42.75,$47.45
7/25/2022,JWI,3138,"Greens, Collard-24 ct",5,$42.75,$47.45
7/25/2022,MLG,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
7/25/2022,D2D,3182,"Squash, Summer, Patty Pan",18,$24.00,$26.64
7/25/2022,AFC,3138,"Greens, Collard-24 ct",8,$42.75,$47.45
7/25/2022,CMA,3138,"Greens, Collard-24 ct",5,$42.75,$47.45
7/25/2022,CLP,3813,"Greens, Kale-24 ct",10,$42.75,$47.45
7/25/2022,CMU,3138,"Greens, Collard-24 ct",10,$42.75,$47.45
7/25/2022,SXF,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/25/2022,LOF,3813,"Greens, Kale-24 ct",5,$42.75,$47.45
7/25/2022,CLP,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
7/25/2022,MLG,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
7/25/2022,TXI,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
7/25/2022,LVO,3669,"Greens, Chard-24 ct",5,$42.75,$47.45
7/25/2022,CMA,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
7/25/2022,HAF,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/25/2022,MMO,3669,"Greens, Chard-24 ct",15,$42.75,$47.45
7/25/2022,YMF,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
7/25/2022,D2D,3138,"Greens, Collard-24 ct",10,$42.75,$47.45
7/25/2022,D2D,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
7/25/2022,CHO,3278,"Radishes, bunched-24 ct",20,$43.50,$48.29
7/25/2022,YMF,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/25/2022,ONC,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
7/25/2022,CHO,3278,"Radishes, bunched-24 ct",20,$43.50,$48.29
7/25/2022,CHO,3182,"Squash, Summer, Patty Pan",22,$24.00,$26.64
7/25/2022,HOP,3099,Beets w/greens,20,$43.25,$48.01
7/25/2022,YMF,3099,Beets w/greens,20,$43.25,$48.01
7/25/2022,CBO,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
7/25/2022,CLP,3182,"Squash, Summer, Patty Pan",18,$24.00,$26.64
7/25/2022,NTN,3809,"Beans, Green, Yellow or Purple",15,$71.00,$78.81
7/25/2022,RSV,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
7/25/2022,JWI,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
7/25/2022,MHG,3362,"Cucumbers, Pickling",11,$24.00,$26.64
7/25/2022,BXF,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
7/25/2022,MMO,3813,"Greens, Kale-24 ct",5,$42.75,$47.45
7/25/2022,SXF,3826,"Greens, Sweet Potato Leaves-12 ct",50,$35.25,$39.13
7/25/2022,HAF,3809,"Beans, Green, Yellow or Purple",5,$71.00,$78.81
7/25/2022,CBO,3138,"Greens, Collard-24 ct",5,$42.75,$47.45
7/25/2022,CBO,3813,"Greens, Kale-24 ct",5,$42.75,$47.45
7/25/2022,CMA,3669,"Greens, Chard-24 ct",5,$42.75,$47.45
7/25/2022,D2D,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
7/25/2022,CHO,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
7/25/2022,PBY,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
7/25/2022,BXF,3138,"Greens, Collard-24 ct",10,$42.75,$47.45
8/1/2022,CLP,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/1/2022,CBS,3404,Tomatillos,66,$32.75,$36.35
8/1/2022,MHA,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/1/2022,CMA,3669,"Greens, Chard-24 ct",5,$42.75,$47.45
8/1/2022,LVO,3669,"Greens, Chard-24 ct",5,$42.75,$47.45
8/1/2022,CBS,3404,Tomatillos,20,$32.75,$36.35
8/1/2022,PBY,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
8/1/2022,YMF,3754,"Cabbage, Red",5,$40.75,$45.23
8/1/2022,CMA,3754,"Cabbage, Red",5,$40.75,$45.23
8/1/2022,SXF,3826,"Greens, Sweet Potato Leaves-12 ct",50,$35.25,$39.13
8/1/2022,CMA,3754,"Cabbage, Red",5,$40.75,$45.23
8/1/2022,TXI,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
8/1/2022,SRF,3809,"Beans, Green, Yellow or Purple",15,$71.00,$78.81
8/1/2022,JWI,3138,"Greens, Collard-24 ct",5,$42.75,$47.45
8/1/2022,CMA,3138,"Greens, Collard-24 ct",5,$42.75,$47.45
8/1/2022,HAF,3809,"Beans, Green, Yellow or Purple",5,$71.00,$78.81
8/1/2022,NTN,3809,"Beans, Green, Yellow or Purple",15,$71.00,$78.81
8/1/2022,AFC,3138,"Greens, Collard-24 ct",8,$42.75,$47.45
8/1/2022,BXF,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
8/1/2022,CHO,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
8/1/2022,CMU,3138,"Greens, Collard-24 ct",10,$42.75,$47.45
8/1/2022,BXF,3669,"Greens, Chard-24 ct",15,$42.75,$47.45
8/1/2022,RSV,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/1/2022,LOF,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/1/2022,RSV,3809,"Beans, Green, Yellow or Purple",5,$71.00,$78.81
8/1/2022,AGF,3404,Tomatillos,46,$32.75,$36.35
8/1/2022,D2D,3138,"Greens, Collard-24 ct",10,$42.75,$47.45
8/1/2022,CHO,3182,"Squash, Summer, Patty Pan",22,$24.00,$26.64
8/1/2022,MLG,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
8/1/2022,CLP,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
8/1/2022,HOP,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/1/2022,MLG,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
8/1/2022,CVP,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
8/1/2022,ONC,3754,"Cabbage, Red",5,$40.75,$45.23
8/1/2022,ONC,3754,"Cabbage, Red",5,$40.75,$45.23
8/1/2022,CBO,3669,"Greens, Chard-24 ct",5,$42.75,$47.45
8/1/2022,LDX,3754,"Cabbage, Red",5,$40.75,$45.23
8/1/2022,CLP,3182,"Squash, Summer, Patty Pan",18,$24.00,$26.64
8/1/2022,BXF,3138,"Greens, Collard-24 ct",10,$42.75,$47.45
8/1/2022,LEE,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
8/1/2022,D2D,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
8/1/2022,ONC,3669,"Greens, Chard-24 ct",5,$42.75,$47.45
8/1/2022,YMF,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
8/1/2022,D2D,3182,"Squash, Summer, Patty Pan",18,$24.00,$26.64
8/1/2022,CBO,3138,"Greens, Collard-24 ct",5,$42.75,$47.45
8/1/2022,LVO,3138,"Greens, Collard-24 ct",5,$42.75,$47.45
8/1/2022,TXI,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/1/2022,MMO,3669,"Greens, Chard-24 ct",15,$42.75,$47.45
8/8/2022,AFC,3138,"Greens, Collard-24 ct",8,$42.75,$47.45
8/8/2022,NTN,3809,"Beans, Green, Yellow or Purple",15,$71.00,$78.81
8/8/2022,CBS,3404,Tomatillos,66,$32.75,$36.35
8/8/2022,CLP,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
8/8/2022,LEE,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
8/8/2022,CMA,3813,"Greens, Kale-24 ct",5,$42.75,$47.45
8/8/2022,D2D,3813,"Greens, Kale-24 ct",5,$42.75,$47.45
8/8/2022,SXF,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/8/2022,KSL,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/8/2022,D2D,3182,"Squash, Summer, Patty Pan",18,$24.00,$26.64
8/8/2022,YMF,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
8/8/2022,ONC,3754,"Cabbage, Red",5,$40.75,$45.23
8/8/2022,HAF,3809,"Beans, Green, Yellow or Purple",5,$71.00,$78.81
8/8/2022,RSV,3809,"Beans, Green, Yellow or Purple",6,$71.00,$78.81
8/8/2022,YMF,3754,"Cabbage, Red",5,$40.75,$45.23
8/8/2022,KHF,3759,"Onions, Bulb",10,$46.25,$51.34
8/8/2022,NTN,3813,"Greens, Kale-24 ct",10,$42.75,$47.45
8/8/2022,MFP,3759,"Onions, Bulb",10,$46.25,$51.34
8/8/2022,HAF,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/8/2022,CLP,3813,"Greens, Kale-24 ct",10,$42.75,$47.45
8/8/2022,SRF,3759,"Onions, Bulb",20,$46.25,$51.34
8/8/2022,BXF,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
8/8/2022,CHO,3182,"Squash, Summer, Patty Pan",22,$24.00,$26.64
8/8/2022,AGF,3404,Tomatillos,46,$32.75,$36.35
8/8/2022,CBO,3813,"Greens, Kale-24 ct",5,$42.75,$47.45
8/8/2022,CLP,3182,"Squash, Summer, Patty Pan",18,$24.00,$26.64
8/8/2022,CVP,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
8/8/2022,CAL,3153,"Peppers, Jalapeño",12,$30.00,$33.30
8/8/2022,D2D,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
8/8/2022,CMA,3754,"Cabbage, Red",5,$40.75,$45.23
8/8/2022,CHO,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/8/2022,PZM,3153,"Peppers, Jalapeño",10,$30.00,$33.30
8/8/2022,LDX,3153,"Peppers, Jalapeño",10,$30.00,$33.30
8/8/2022,CLP,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/8/2022,LOF,3813,"Greens, Kale-24 ct",5,$42.75,$47.45
8/8/2022,CHO,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
8/8/2022,JWI,3813,"Greens, Kale-24 ct",5,$42.75,$47.45
8/8/2022,SRF,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
8/8/2022,CBS,3153,"Peppers, Jalapeño",12,$30.00,$33.30
8/8/2022,MMO,3813,"Greens, Kale-24 ct",5,$42.75,$47.45
8/8/2022,LFF,3153,"Peppers, Jalapeño",10,$30.00,$33.30
8/8/2022,SRF,3759,"Onions, Bulb",20,$46.25,$51.34
8/8/2022,TXI,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
8/8/2022,PBY,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
8/8/2022,SRF,3759,"Onions, Bulb",20,$46.25,$51.34
8/8/2022,SXF,3826,"Greens, Sweet Potato Leaves-12 ct",50,$35.25,$39.13
8/8/2022,MLG,3759,"Onions, Bulb",10,$46.25,$51.34
8/8/2022,LDX,3754,"Cabbage, Red",5,$40.75,$45.23
8/8/2022,MLG,3809,"Beans, Green, Yellow or Purple",10,$71.00,$78.81
8/8/2022,SRF,3759,"Onions, Bulb",10,$46.25,$51.34
8/8/2022,MHG,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/8/2022,CBS,3404,Tomatillos,20,$32.75,$36.35
8/8/2022,KHF,3153,"Peppers, Jalapeño",12,$30.00,$33.30
8/8/2022,MLG,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
8/15/2022,CLP,3853,"Greens, Eggplant Leaves -12 ct",15,$36.50,$40.52
8/15/2022,AGF,3089,"Melon, Watermelon",15,$30.75,$34.13
8/15/2022,YMF,3668,"Eggplant, Japanese",10,$34.25,$38.02
8/15/2022,CHO,3702,"Greens, Malabar Spinach-12 ct",12,$36.50,$40.52
8/15/2022,MHA,3364,"Greens, Mustard-24 ct",5,$42.75,$47.45
8/15/2022,KSL,3202,"Tomatoes, Slicing",15,$46.00,$51.06
8/15/2022,MHA,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/15/2022,D2D,3138,"Greens, Collard-24 ct",10,$42.75,$47.45
8/15/2022,KSL,3364,"Greens, Mustard-24 ct",10,$42.75,$47.45
8/15/2022,CBS,3404,Tomatillos,20,$32.75,$36.35
8/15/2022,TXI,3826,"Greens, Sweet Potato Leaves-12 ct",10,$35.25,$39.13
8/15/2022,CAL,3153,"Peppers, Jalapeño",12,$30.00,$33.30
8/15/2022,CLP,3854,"Greens, Pumpkin Vine-12 ct",12,$36.50,$40.52
8/15/2022,YMF,3853,"Greens, Eggplant Leaves -12 ct",20,$36.50,$40.52
8/15/2022,TXI,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/15/2022,LEE,3828,"Peppers, Green Bell",5,$40.75,$45.23
8/15/2022,D2D,3754,"Cabbage, Red",5,$40.75,$45.23
8/15/2022,MFP,3153,"Peppers, Jalapeño",10,$30.00,$33.30
8/15/2022,TXI,3702,"Greens, Malabar Spinach-12 ct",12,$36.50,$40.52
8/15/2022,LFF,3828,"Peppers, Green Bell",25,$40.75,$45.23
8/15/2022,PLT,3364,"Greens, Mustard-24 ct",5,$42.75,$47.45
8/15/2022,AGF,3091,"Melon, Honeydew",50,$31.25,$34.69
8/15/2022,CBO,3138,"Greens, Collard-24 ct",5,$42.75,$47.45
8/15/2022,KHF,3153,"Peppers, Jalapeño",12,$30.00,$33.30
8/15/2022,MMO,3364,"Greens, Mustard-24 ct",5,$42.75,$47.45
8/15/2022,BXF,3854,"Greens, Pumpkin Vine-12 ct",12,$36.50,$40.52
8/15/2022,BXF,3853,"Greens, Eggplant Leaves -12 ct",15,$36.50,$40.52
8/15/2022,BXF,3138,"Greens, Collard-24 ct",10,$42.75,$47.45
8/15/2022,PLT,3854,"Greens, Pumpkin Vine-12 ct",14,$36.50,$40.52
8/15/2022,KSL,3828,"Peppers, Green Bell",15,$40.75,$45.23
8/15/2022,LDX,3153,"Peppers, Jalapeño",10,$30.00,$33.30
8/15/2022,HOP,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/15/2022,PBY,3202,"Tomatoes, Slicing",15,$46.00,$51.06
8/15/2022,MLG,3854,"Greens, Pumpkin Vine-12 ct",14,$36.50,$40.52
8/15/2022,CLP,3668,"Eggplant, Japanese",10,$34.25,$38.02
8/15/2022,D2D,3182,"Squash, Summer, Patty Pan",18,$24.00,$26.64
8/15/2022,YMF,3702,"Greens, Malabar Spinach-12 ct",14,$36.50,$40.52
8/15/2022,CBS,3153,"Peppers, Jalapeño",12,$30.00,$33.30
8/15/2022,BXF,3702,"Greens, Malabar Spinach-12 ct",12,$36.50,$40.52
8/15/2022,HOP,3717,"Eggplant, Globe",10,$37.00,$41.07
8/15/2022,AGF,3089,"Melon, Watermelon",15,$30.75,$34.13
8/15/2022,PBY,3089,"Melon, Watermelon",10,$30.75,$34.13
8/15/2022,CMU,3853,"Greens, Eggplant Leaves -12 ct",15,$36.50,$40.52
8/15/2022,LFF,3153,"Peppers, Jalapeño",10,$30.00,$33.30
8/15/2022,YMF,3717,"Eggplant, Globe",10,$37.00,$41.07
8/15/2022,RSV,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/15/2022,PZM,3828,"Peppers, Green Bell",5,$40.75,$45.23
8/15/2022,CHO,3853,"Greens, Eggplant Leaves -12 ct",15,$36.50,$40.52
8/15/2022,KHF,3668,"Eggplant, Japanese",10,$34.25,$38.02
8/15/2022,AGF,3091,"Melon, Honeydew",50,$31.25,$34.69
8/15/2022,CHO,3182,"Squash, Summer, Patty Pan",22,$24.00,$26.64
8/15/2022,KSL,3854,"Greens, Pumpkin Vine-12 ct",12,$36.50,$40.52
8/15/2022,PBY,3717,"Eggplant, Globe",15,$37.00,$41.07
8/15/2022,AGF,3404,Tomatillos,46,$32.75,$36.35
8/15/2022,PLT,3668,"Eggplant, Japanese",10,$34.25,$38.02
8/15/2022,PBY,3668,"Eggplant, Japanese",10,$34.25,$38.02
8/15/2022,LVO,3138,"Greens, Collard-24 ct",5,$42.75,$47.45
8/15/2022,LOF,3362,"Cucumbers, Pickling",11,$24.00,$26.64
8/15/2022,PLT,3853,"Greens, Eggplant Leaves -12 ct",20,$36.50,$40.52
8/15/2022,MFP,3364,"Greens, Mustard-24 ct",5,$42.75,$47.45
8/15/2022,CVP,3702,"Greens, Malabar Spinach-12 ct",12,$36.50,$40.52
8/15/2022,DTF,3202,"Tomatoes, Slicing",15,$46.00,$51.06
8/15/2022,KHF,3202,"Tomatoes, Slicing",36,$46.00,$51.06
8/15/2022,TXI,3854,"Greens, Pumpkin Vine-12 ct",12,$36.50,$40.52
8/15/2022,LOF,3364,"Greens, Mustard-24 ct",5,$42.75,$47.45
