Delivery Week,Producer Code,Product ID,Product,Quantity,Cost,Price,Fulfilled,Water Access,Land Ownership
10/17/2022,YMF,3178,"Radishes, Purple Daikon",22,3900,4329,0,True,False
10/17/2022,YMF,3178,"Radishes, Purple Daikon",22,3900,4329,0,True,False
10/17/2022,CMU,3132,"Carrots, Rainbow",11,3675,4079,11,False,False
10/17/2022,KSL,3613,"Beets, Bulk",11,3100,3440,0,False,False
10/17/2022,NTN,3613,"Beets, Bulk",11,3100,3440,11,False,False
10/17/2022,YMF,3132,"Carrots, Rainbow",33,3675,4079,22,True,False
10/17/2022,NTN,3132,"Carrots, Rainbow",22,3675,4079,0,False,False
10/17/2022,PBY,3613,"Beets, Bulk",11,3100,3440,11,False,False
10/17/2022,CMU,3755,"Carrots, Orange",11,3675,4079,0,False,False
10/17/2022,YMF,3613,"Beets, Bulk",11,3100,3440,11,True,False
10/17/2022,HAF,3178,"Radishes, Purple Daikon",22,3900,4329,0,False,True
10/17/2022,YMF,3755,"Carrots, Orange",11,3675,4079,0,True,False
10/24/2022,PBY,3613,"Beets, Bulk",11,3100,3440,0,False,False
10/24/2022,PBY,3613,"Beets, Bulk",11,3100,3440,0,False,False
10/24/2022,NTN,3613,"Beets, Bulk",11,3100,3440,0,False,False
10/24/2022,RSV,3755,"Carrots, Orange",11,3675,4079,0,False,False
10/24/2022,NTN,3132,"Carrots, Rainbow",11,3675,4079,0,False,False
10/24/2022,YMF,3178,"Radishes, Purple Daikon",22,3900,4329,0,True,False
10/24/2022,YMF,3613,"Beets, Bulk",11,3100,3440,0,True,False
10/24/2022,YMF,3178,"Radishes, Purple Daikon",22,3900,4329,0,True,False
10/24/2022,KSL,3613,"Beets, Bulk",11,3100,3440,0,False,False
10/24/2022,CLP,3613,"Beets, Bulk",11,3100,3440,0,False,True
10/24/2022,CMU,3132,"Carrots, Rainbow",11,3675,4079,0,False,False
10/24/2022,YMF,3132,"Carrots, Rainbow",33,3675,4079,0,True,False
10/24/2022,HAF,3178,"Radishes, Purple Daikon",22,3900,4329,0,False,True
10/3/2022,CMU,3132,"Carrots, Rainbow",11,3675,4079,11,False,False
10/3/2022,JWI,3278,"Radishes, bunched-24 ct",10,4350,4829,10,False,False
10/3/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829,0,False,True
10/3/2022,NTN,3613,"Beets, Bulk",11,3100,3440,11,False,False
10/3/2022,MLG,3759,"Onions, Bulb",10,4625,5134,0,False,False
10/3/2022,KAL,3132,"Carrots, Rainbow",22,3675,4079,0,False,False
10/3/2022,YMF,3132,"Carrots, Rainbow",11,3675,4079,0,True,False
10/3/2022,AGF,3189,"Squash, Winter, Delicata",90,4075,4523,45,True,True
10/3/2022,MLG,3364,"Greens, Mustard-24 ct",10,4275,4745,0,False,False
10/3/2022,CLP,3613,"Beets, Bulk",11,3100,3440,11,False,True
10/3/2022,LOF,3364,"Greens, Mustard-24 ct",5,4275,4745,5,False,False
10/3/2022,SRF,3759,"Onions, Bulb",10,4625,5134,10,True,False
10/3/2022,AGF,3759,"Onions, Bulb",20,4625,5134,0,True,True
10/3/2022,BXF,3364,"Greens, Mustard-24 ct",5,4275,4745,0,False,True
10/3/2022,RSV,3755,"Carrots, Orange",22,3675,4079,0,False,False
10/3/2022,MFP,3364,"Greens, Mustard-24 ct",5,4275,4745,0,False,False
10/3/2022,CAL,3759,"Onions, Bulb",20,4625,5134,19,True,True
10/3/2022,D2D,3278,"Radishes, bunched-24 ct",10,4350,4829,0,True,True
10/3/2022,KHF,3759,"Onions, Bulb",10,4625,5134,0,False,False
10/3/2022,CAL,3189,"Squash, Winter, Delicata",60,4075,4523,60,True,True
10/3/2022,PLT,3364,"Greens, Mustard-24 ct",5,4275,4745,0,False,False
10/3/2022,MHA,3364,"Greens, Mustard-24 ct",5,4275,4745,5,False,False
10/3/2022,MFP,3759,"Onions, Bulb",10,4625,5134,0,False,False
10/3/2022,KSL,3613,"Beets, Bulk",11,3100,3440,0,False,False
10/3/2022,KSL,3364,"Greens, Mustard-24 ct",10,4275,4745,0,False,False
10/3/2022,MMO,3364,"Greens, Mustard-24 ct",5,4275,4745,5,False,False
10/3/2022,SRF,3759,"Onions, Bulb",20,4625,5134,10,True,False
10/3/2022,PBY,3613,"Beets, Bulk",11,3100,3440,11,False,False
10/3/2022,PBY,3613,"Beets, Bulk",11,3100,3440,11,False,False
10/3/2022,YMF,3613,"Beets, Bulk",11,3100,3440,11,True,False
10/31/2022,D2D,9997,"Radishes, Watermelon",22,3650,4052,0,True,True
10/31/2022,D2D,9997,"Radishes, Watermelon",22,3650,4052,0,True,True
10/31/2022,D2D,9997,"Radishes, Watermelon",22,3650,4052,0,True,True
11/7/2022,YMF,3755,"Carrots, Orange",11,3675,4079,0,True,False
11/7/2022,CMU,3755,"Carrots, Orange",11,3675,4079,0,False,False
11/7/2022,NTN,3755,"Carrots, Orange",22,3675,4079,0,False,False
11/7/2022,MLG,3755,"Carrots, Orange",22,3675,4079,0,False,False
6/13/2022,JWI,3278,"Radishes, bunched-24 ct",15,4350,4829,0,False,False
6/13/2022,TEB,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,0,False,True
6/13/2022,CMU,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,12,False,False
6/13/2022,CBS,3278,"Radishes, bunched-24 ct",15,4350,4829,0,True,True
6/13/2022,CMA,3266,"Onions, Green or Scallions-24 ct",5,3375,3746,0,False,False
6/13/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745,0,True,False
6/13/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745,10,False,False
6/13/2022,ONC,3266,"Onions, Green or Scallions-24 ct",5,3375,3746,0,False,False
6/13/2022,YMF,3266,"Onions, Green or Scallions-24 ct",10,3375,3746,0,True,False
6/13/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,4275,4745,5,False,False
6/13/2022,CVP,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,12,False,False
6/13/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829,0,False,True
6/20/2022,CBO,3278,"Radishes, bunched-24 ct",5,4350,4829,5,False,False
6/20/2022,JWI,3278,"Radishes, bunched-24 ct",5,4350,4829,0,False,False
6/20/2022,TEB,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,0,False,True
6/20/2022,CMA,3266,"Onions, Green or Scallions-24 ct",5,3375,3746,0,False,False
6/20/2022,YMF,3266,"Onions, Green or Scallions-24 ct",10,3375,3746,10,True,False
6/20/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745,10,True,False
6/20/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745,10,False,False
6/20/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,4275,4745,5,False,False
6/20/2022,ONC,3266,"Onions, Green or Scallions-24 ct",5,3375,3746,0,False,False
6/20/2022,CMA,3278,"Radishes, bunched-24 ct",5,4350,4829,5,False,False
6/20/2022,CMU,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,12,False,False
6/20/2022,CVP,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,12,False,False
6/20/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829,0,False,True
6/20/2022,CBS,3278,"Radishes, bunched-24 ct",15,4350,4829,0,True,True
6/27/2022,CMU,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,12,False,False
6/27/2022,CVP,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,12,False,False
6/27/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745,0,True,False
6/27/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,4275,4745,0,False,False
6/27/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745,0,False,False
6/27/2022,CBS,3278,"Radishes, bunched-24 ct",10,4350,4829,5,True,True
6/27/2022,YMF,3266,"Onions, Green or Scallions-24 ct",10,3375,3746,10,True,False
6/27/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829,0,False,True
6/27/2022,JWI,3278,"Radishes, bunched-24 ct",10,4350,4829,0,False,False
6/27/2022,CMA,3266,"Onions, Green or Scallions-24 ct",5,3375,3746,0,False,False
6/27/2022,D2D,3278,"Radishes, bunched-24 ct",10,4350,4829,10,True,True
6/27/2022,TEB,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,12,False,True
6/27/2022,ONC,3266,"Onions, Green or Scallions-24 ct",5,3375,3746,0,False,False
6/6/2022,CMA,3266,"Onions, Green or Scallions-24 ct",5,3375,3746,0,False,False
6/6/2022,JWI,3278,"Radishes, bunched-24 ct",10,4350,4829,0,False,False
6/6/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745,0,True,False
6/6/2022,ONC,3266,"Onions, Green or Scallions-24 ct",5,3375,3746,0,False,False
6/6/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829,0,False,True
6/6/2022,CVP,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,0,False,False
6/6/2022,TEB,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,0,False,True
6/6/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745,0,False,False
6/6/2022,CMU,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,0,False,False
6/6/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,4275,4745,0,False,False
6/6/2022,CBS,3278,"Radishes, bunched-24 ct",20,4350,4829,0,True,True
6/6/2022,YMF,3266,"Onions, Green or Scallions-24 ct",10,3375,3746,0,True,False
7/11/2022,CHO,3362,"Cucumbers, Pickling",11,2400,2664,0,False,True
7/11/2022,MHG,3362,"Cucumbers, Pickling",11,2400,2664,0,True,True
7/11/2022,LDX,3754,"Cabbage, Red",5,4075,4523,0,True,False
7/11/2022,AFC,3138,"Greens, Collard-24 ct",8,4275,4745,8,True,True
7/11/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745,0,False,False
7/11/2022,CMA,3754,"Cabbage, Red",5,4075,4523,0,False,False
7/11/2022,KSL,3362,"Cucumbers, Pickling",11,2400,2664,0,False,False
7/11/2022,D2D,3278,"Radishes, bunched-24 ct",10,4350,4829,10,True,True
7/11/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,4275,4745,0,False,False
7/11/2022,YMF,3362,"Cucumbers, Pickling",11,2400,2664,0,True,False
7/11/2022,ONC,3754,"Cabbage, Red",5,4075,4523,0,False,False
7/11/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829,20,False,True
7/11/2022,D2D,3182,"Squash, Summer, Patty Pan",18,2400,2664,0,True,True
7/11/2022,YMF,3754,"Cabbage, Red",5,4075,4523,0,True,False
7/11/2022,CHO,3182,"Squash, Summer, Patty Pan",22,2400,2664,0,False,True
7/11/2022,HAF,3362,"Cucumbers, Pickling",11,2400,2664,0,False,True
7/11/2022,SXF,3362,"Cucumbers, Pickling",11,2400,2664,0,False,False
7/11/2022,JWI,3278,"Radishes, bunched-24 ct",10,4350,4829,0,False,False
7/11/2022,CLP,3182,"Squash, Summer, Patty Pan",18,2400,2664,0,False,True
7/11/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745,10,True,False
7/18/2022,LDX,3754,"Cabbage, Red",5,4075,4523,0,True,False
7/18/2022,HOP,3362,"Cucumbers, Pickling",11,2400,2664,0,True,False
7/18/2022,MLG,3809,"Beans, Green, Yellow or Purple",5,7100,7881,0,False,False
7/18/2022,LOF,3362,"Cucumbers, Pickling",11,2400,2664,0,False,False
7/18/2022,CMA,3813,"Greens, Kale-24 ct",5,4275,4745,5,False,False
7/18/2022,NTN,3809,"Beans, Green, Yellow or Purple",15,7100,7881,0,False,False
7/18/2022,CLP,3182,"Squash, Summer, Patty Pan",18,2400,2664,0,False,True
7/18/2022,AFC,3138,"Greens, Collard-24 ct",8,4275,4745,0,True,True
7/18/2022,JWI,3813,"Greens, Kale-24 ct",5,4275,4745,5,False,False
7/18/2022,PBY,3809,"Beans, Green, Yellow or Purple",10,7100,7881,4,False,False
7/18/2022,MHA,3362,"Cucumbers, Pickling",11,2400,2664,0,False,False
7/18/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829,20,False,True
7/18/2022,CMA,3754,"Cabbage, Red",5,4075,4523,0,False,False
7/18/2022,RSV,3809,"Beans, Green, Yellow or Purple",6,7100,7881,0,False,False
7/18/2022,CLP,3362,"Cucumbers, Pickling",11,2400,2664,0,False,True
7/18/2022,NTN,3813,"Greens, Kale-24 ct",10,4275,4745,10,False,False
7/18/2022,YMF,3754,"Cabbage, Red",5,4075,4523,0,True,False
7/18/2022,D2D,3182,"Squash, Summer, Patty Pan",18,2400,2664,0,True,True
7/18/2022,TXI,3362,"Cucumbers, Pickling",11,2400,2664,0,False,False
7/18/2022,CHO,3182,"Squash, Summer, Patty Pan",22,2400,2664,0,False,True
7/18/2022,ONC,3754,"Cabbage, Red",5,4075,4523,0,False,False
7/18/2022,JWI,3278,"Radishes, bunched-24 ct",10,4350,4829,0,False,False
7/18/2022,D2D,3278,"Radishes, bunched-24 ct",10,4350,4829,10,True,True
7/18/2022,JWI,3809,"Beans, Green, Yellow or Purple",7,7100,7881,0,False,False
7/18/2022,RSV,3362,"Cucumbers, Pickling",11,2400,2664,11,False,False
7/18/2022,D2D,3813,"Greens, Kale-24 ct",5,4275,4745,5,True,True
7/25/2022,D2D,3182,"Squash, Summer, Patty Pan",18,2400,2664,17,True,True
7/25/2022,MLG,3809,"Beans, Green, Yellow or Purple",10,7100,7881,10,False,False
7/25/2022,AFC,3138,"Greens, Collard-24 ct",8,4275,4745,8,True,True
7/25/2022,CMA,3138,"Greens, Collard-24 ct",5,4275,4745,5,False,False
7/25/2022,SXF,3362,"Cucumbers, Pickling",11,2400,2664,11,False,False
7/25/2022,CMU,3138,"Greens, Collard-24 ct",10,4275,4745,10,False,False
7/25/2022,LOF,3813,"Greens, Kale-24 ct",5,4275,4745,5,False,False
7/25/2022,JWI,3138,"Greens, Collard-24 ct",5,4275,4745,5,False,False
7/25/2022,CLP,3813,"Greens, Kale-24 ct",10,4275,4745,10,False,True
7/25/2022,LVO,3138,"Greens, Collard-24 ct",5,4275,4745,1,True,True
7/25/2022,CLP,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913,10,False,True
7/25/2022,CHO,3362,"Cucumbers, Pickling",11,2400,2664,0,False,True
7/25/2022,CLP,3182,"Squash, Summer, Patty Pan",18,2400,2664,13,False,True
7/25/2022,CBO,3278,"Radishes, bunched-24 ct",10,4350,4829,0,False,False
7/25/2022,YMF,3099,Beets w/greens,20,4325,4801,18,True,False
7/25/2022,HOP,3099,Beets w/greens,20,4325,4801,0,True,False
7/25/2022,CHO,3182,"Squash, Summer, Patty Pan",22,2400,2664,0,False,True
7/25/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829,20,False,True
7/25/2022,ONC,3809,"Beans, Green, Yellow or Purple",10,7100,7881,4,False,False
7/25/2022,YMF,3362,"Cucumbers, Pickling",11,2400,2664,11,True,False
7/25/2022,NTN,3809,"Beans, Green, Yellow or Purple",15,7100,7881,15,False,False
7/25/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829,20,False,True
7/25/2022,D2D,3138,"Greens, Collard-24 ct",10,4275,4745,10,True,True
7/25/2022,YMF,3809,"Beans, Green, Yellow or Purple",10,7100,7881,10,True,False
7/25/2022,MMO,3669,"Greens, Chard-24 ct",15,4275,4745,15,False,False
7/25/2022,HAF,3362,"Cucumbers, Pickling",11,2400,2664,0,False,True
7/25/2022,CMA,3278,"Radishes, bunched-24 ct",10,4350,4829,0,False,False
7/25/2022,LVO,3669,"Greens, Chard-24 ct",5,4275,4745,0,True,True
7/25/2022,TXI,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913,10,False,False
7/25/2022,MLG,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913,10,False,False
7/25/2022,D2D,3278,"Radishes, bunched-24 ct",10,4350,4829,10,True,True
7/25/2022,CVP,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913,10,False,False
7/25/2022,RSV,3809,"Beans, Green, Yellow or Purple",10,7100,7881,0,False,False
7/25/2022,MHG,3362,"Cucumbers, Pickling",11,2400,2664,0,True,True
7/25/2022,KSL,3362,"Cucumbers, Pickling",11,2400,2664,11,False,False
7/25/2022,TEB,3099,Beets w/greens,10,4325,4801,10,False,True
7/25/2022,CBO,3669,"Greens, Chard-24 ct",5,4275,4745,5,False,False
7/25/2022,ONC,3669,"Greens, Chard-24 ct",5,4275,4745,4,False,False
7/25/2022,BXF,3669,"Greens, Chard-24 ct",15,4275,4745,0,False,True
7/25/2022,LEE,3809,"Beans, Green, Yellow or Purple",10,7100,7881,0,,
7/25/2022,BXF,3138,"Greens, Collard-24 ct",10,4275,4745,0,False,True
7/25/2022,JWI,3278,"Radishes, bunched-24 ct",10,4350,4829,0,False,False
7/25/2022,PBY,3809,"Beans, Green, Yellow or Purple",10,7100,7881,10,False,False
7/25/2022,D2D,3809,"Beans, Green, Yellow or Purple",10,7100,7881,0,True,True
7/25/2022,CMA,3669,"Greens, Chard-24 ct",5,4275,4745,4,False,False
7/25/2022,CBO,3813,"Greens, Kale-24 ct",5,4275,4745,5,False,False
7/25/2022,CBO,3138,"Greens, Collard-24 ct",5,4275,4745,3,False,False
7/25/2022,HAF,3809,"Beans, Green, Yellow or Purple",5,7100,7881,5,False,True
7/25/2022,SXF,3826,"Greens, Sweet Potato Leaves-12 ct",50,3525,3913,50,False,False
7/25/2022,MMO,3813,"Greens, Kale-24 ct",5,4275,4745,5,False,False
7/25/2022,BXF,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913,0,False,True
7/25/2022,CHO,3809,"Beans, Green, Yellow or Purple",10,7100,7881,0,False,True
7/4/2022,AFC,3138,"Greens, Collard-24 ct",8,4275,4745,0,True,True
7/4/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829,0,False,True
7/4/2022,TEB,3573,"Greens, Bok Choi",10,4625,5134,0,False,True
7/4/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,4275,4745,0,False,False
7/4/2022,CMU,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,10,False,False
7/4/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745,0,False,False
7/4/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745,6,True,False
7/4/2022,CMA,3266,"Onions, Green or Scallions-24 ct",5,3375,3746,0,False,False
7/4/2022,CVP,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,12,False,False
7/4/2022,YMF,3266,"Onions, Green or Scallions-24 ct",10,3375,3746,10,True,False
7/4/2022,PBY,3573,"Greens, Bok Choi",10,4625,5134,0,False,False
7/4/2022,MFP,3573,"Greens, Bok Choi",10,4625,5134,0,False,False
7/4/2022,PBY,3573,"Greens, Bok Choi",10,4625,5134,0,False,False
7/4/2022,CHO,3182,"Squash, Summer, Patty Pan",22,2400,2664,0,False,True
7/4/2022,JWI,3278,"Radishes, bunched-24 ct",10,4350,4829,0,False,False
7/4/2022,D2D,3278,"Radishes, bunched-24 ct",10,4350,4829,10,True,True
7/4/2022,D2D,3182,"Squash, Summer, Patty Pan",18,2400,2664,0,True,True
7/4/2022,CLP,3182,"Squash, Summer, Patty Pan",18,2400,2664,0,False,True
7/4/2022,TEB,3266,"Onions, Green or Scallions-24 ct",12,3375,3746,0,False,True
7/4/2022,CBS,3278,"Radishes, bunched-24 ct",10,4350,4829,0,True,True
7/4/2022,ONC,3266,"Onions, Green or Scallions-24 ct",5,3375,3746,0,False,False
7/4/2022,TEB,3573,"Greens, Bok Choi",10,4625,5134,0,False,True
8/1/2022,BXF,3669,"Greens, Chard-24 ct",15,4275,4745,0,False,True
8/1/2022,CMA,3138,"Greens, Collard-24 ct",5,4275,4745,5,False,False
8/1/2022,HAF,3809,"Beans, Green, Yellow or Purple",5,7100,7881,5,False,True
8/1/2022,NTN,3809,"Beans, Green, Yellow or Purple",15,7100,7881,15,False,False
8/1/2022,CMU,3138,"Greens, Collard-24 ct",10,4275,4745,10,False,False
8/1/2022,BXF,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913,10,False,True
8/1/2022,CHO,3809,"Beans, Green, Yellow or Purple",10,7100,7881,0,False,True
8/1/2022,JWI,3138,"Greens, Collard-24 ct",5,4275,4745,5,False,False
8/1/2022,AFC,3138,"Greens, Collard-24 ct",8,4275,4745,8,True,True
8/1/2022,SRF,3809,"Beans, Green, Yellow or Purple",15,7100,7881,0,True,False
8/1/2022,CMA,3669,"Greens, Chard-24 ct",5,4275,4745,0,False,False
8/1/2022,CMA,3754,"Cabbage, Red",5,4075,4523,0,False,False
8/1/2022,SXF,3826,"Greens, Sweet Potato Leaves-12 ct",50,3525,3913,50,False,False
8/1/2022,CMA,3754,"Cabbage, Red",5,4075,4523,0,False,False
8/1/2022,YMF,3754,"Cabbage, Red",5,4075,4523,0,True,False
8/1/2022,PBY,3809,"Beans, Green, Yellow or Purple",10,7100,7881,10,False,False
8/1/2022,CBS,3404,Tomatillos,20,3275,3635,0,True,True
8/1/2022,LVO,3669,"Greens, Chard-24 ct",5,4275,4745,0,True,True
8/1/2022,MHA,3362,"Cucumbers, Pickling",11,2400,2664,6,False,False
8/1/2022,CBS,3404,Tomatillos,66,3275,3635,0,True,True
8/1/2022,CLP,3362,"Cucumbers, Pickling",11,2400,2664,0,False,True
8/1/2022,TXI,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913,10,False,False
8/1/2022,LOF,3362,"Cucumbers, Pickling",11,2400,2664,11,False,False
8/1/2022,RSV,3362,"Cucumbers, Pickling",11,2400,2664,0,False,False
8/1/2022,AGF,3404,Tomatillos,46,3275,3635,12,True,True
8/1/2022,RSV,3809,"Beans, Green, Yellow or Purple",5,7100,7881,0,False,False
8/1/2022,TXI,3362,"Cucumbers, Pickling",11,2400,2664,11,False,False
8/1/2022,LVO,3138,"Greens, Collard-24 ct",5,4275,4745,0,True,True
8/1/2022,CBO,3138,"Greens, Collard-24 ct",5,4275,4745,0,False,False
8/1/2022,D2D,3182,"Squash, Summer, Patty Pan",18,2400,2664,3,True,True
8/1/2022,YMF,3809,"Beans, Green, Yellow or Purple",10,7100,7881,10,True,False
8/1/2022,ONC,3669,"Greens, Chard-24 ct",5,4275,4745,0,False,False
8/1/2022,D2D,3809,"Beans, Green, Yellow or Purple",10,7100,7881,0,True,True
8/1/2022,LEE,3809,"Beans, Green, Yellow or Purple",10,7100,7881,10,,
8/1/2022,BXF,3138,"Greens, Collard-24 ct",10,4275,4745,0,False,True
8/1/2022,CLP,3182,"Squash, Summer, Patty Pan",18,2400,2664,15,False,True
8/1/2022,MMO,3669,"Greens, Chard-24 ct",15,4275,4745,11,False,False
8/1/2022,CBO,3669,"Greens, Chard-24 ct",5,4275,4745,5,False,False
8/1/2022,ONC,3754,"Cabbage, Red",5,4075,4523,5,False,False
8/1/2022,ONC,3754,"Cabbage, Red",5,4075,4523,5,False,False
8/1/2022,CVP,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913,0,False,False
8/1/2022,MLG,3809,"Beans, Green, Yellow or Purple",10,7100,7881,5,False,False
8/1/2022,HOP,3362,"Cucumbers, Pickling",11,2400,2664,0,True,False
8/1/2022,CLP,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913,0,False,True
8/1/2022,MLG,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913,10,False,False
8/1/2022,CHO,3182,"Squash, Summer, Patty Pan",22,2400,2664,0,False,True
8/1/2022,D2D,3138,"Greens, Collard-24 ct",10,4275,4745,10,True,True
8/1/2022,LDX,3754,"Cabbage, Red",5,4075,4523,5,True,False
8/15/2022,CMU,3138,"Greens, Collard-24 ct",10,4275,4745,10,False,False
8/15/2022,SXF,3826,"Greens, Sweet Potato Leaves-12 ct",50,3525,3913,50,False,False
8/15/2022,CLP,3702,"Greens, Malabar Spinach-12 ct",12,3650,4052,0,False,True
8/15/2022,CLP,3826,"Greens, Sweet Potato Leaves-12 ct",10,3525,3913,10,False,True
8/15/2022,CLP,3717,"Eggplant, Globe",15,3700,4107,2,False,True
8/15/2022,AFC,3138,"Greens, Collard-24 ct",8,4275,4745,8,True,True
8/15/2022,CBS,3404,Tomatillos,66,3275,3635,66,True,True
8/15/2022,CMA,3138,"Greens, Collard-24 ct",5,4275,4745,4,False,False
8/15/2022,DTF,3202,"Tomatoes, Slicing",36,4600,5106,36,False,True
8/15/2022,CTH,3202,"Tomatoes, Slicing",15,4600,5106,0,False,False
8/15/2022,CLP,3362,"Cucumbers, Pickling",11,2400,2664,7,False,True
8/15/2022,CHO,3854,"Greens, Pumpkin Vine-12 ct",12,3650,4052,0,False,True
